speaker_id,filename,task,duration_delta,significant_diff
001PD,001PD_S1_DDK1.wav,ddk,0.7243749999999998,False
001PD,001PD_S1_DDK2.wav,ddk,1.8951666666666673,False
001PD,001PD_S1_DDK3.wav,ddk,2.3336249999999996,False
002PD,002PD_S1_DDK1.wav,ddk,3.0839583333333334,False
002PD,002PD_S1_DDK2.wav,ddk,2.119208333333333,True
002PD,002PD_S1_DDK3.wav,ddk,0.8317916666666667,False
003PD,003PD_S1_DDK1.wav,ddk,1.2960416666666665,False
003PD,003PD_S1_DDK2.wav,ddk,0.31441666666666634,False
003PD,003PD_S1_DDK3.wav,ddk,0.27445833333333347,False
004PD,004PD_S1_DDK1.wav,ddk,1.4117500000000005,False
004PD,004PD_S1_DDK2.wav,ddk,0.8831666666666667,False
004PD,004PD_S1_DDK3.wav,ddk,0.6622083333333335,False
005PD,005PD_S1_DDK1.wav,ddk,0.6077500000000002,False
005PD,005PD_S1_DDK2.wav,ddk,0.16520833333333362,False
005PD,005PD_S1_DDK3.wav,ddk,0.011666666666666714,False
006PD,006PD_S1_DDK1.wav,ddk,1.35675,False
006PD,006PD_S1_DDK2.wav,ddk,0.7177499999999997,False
006PD,006PD_S1_DDK3.wav,ddk,0.7453750000000001,False
007PD,007PD_S1_DDK1.wav,ddk,0.5730000000000004,False
007PD,007PD_S1_DDK2.wav,ddk,0.26187499999999986,False
007PD,007PD_S1_DDK3.wav,ddk,0.047750000000000625,False
008PD,008PD_S1_DDK1.wav,ddk,1.1249583333333337,False
008PD,008PD_S1_DDK2.wav,ddk,0.5616250000000003,False
008PD,008PD_S1_DDK3.wav,ddk,1.2891250000000003,False
009PD,009PD_S1_DDK1.wav,ddk,1.2851249999999999,False
009PD,009PD_S1_DDK2.wav,ddk,2.578500000000001,False
009PD,009PD_S1_DDK3.wav,ddk,2.629458333333333,True
010PD,010PD_S1_DDK1.wav,ddk,1.5480833333333335,False
010PD,010PD_S1_DDK2.wav,ddk,1.2636666666666656,False
010PD,010PD_S1_DDK3.wav,ddk,1.3019166666666662,False
