speaker_id,filename,task,duration_delta,significant_diff
001PD,001PD_S1_DDK1.wav,ddk,1.565375,False
001PD,001PD_S1_DDK2.wav,ddk,0.1151666666666662,False
001PD,001PD_S1_DDK3.wav,ddk,0.4382916666666663,False
002PD,002PD_S1_DDK1.wav,ddk,3.9099583333333334,True
002PD,002PD_S1_DDK2.wav,ddk,2.2345416666666664,True
002PD,002PD_S1_DDK3.wav,ddk,0.8901249999999994,False
003PD,003PD_S1_DDK1.wav,ddk,2.026708333333333,True
003PD,003PD_S1_DDK2.wav,ddk,0.03725000000000023,False
003PD,003PD_S1_DDK3.wav,ddk,0.0004583333333334494,False
004PD,004PD_S1_DDK1.wav,ddk,0.14775000000000027,False
004PD,004PD_S1_DDK2.wav,ddk,0.1998333333333333,False
004PD,004PD_S1_DDK3.wav,ddk,0.3317916666666665,False
005PD,005PD_S1_DDK1.wav,ddk,0.802083333333333,False
005PD,005PD_S1_DDK2.wav,ddk,0.02620833333333339,False
005PD,005PD_S1_DDK3.wav,ddk,0.5023333333333335,False
006PD,006PD_S1_DDK1.wav,ddk,6.678416666666666,True
006PD,006PD_S1_DDK2.wav,ddk,6.958749999999999,True
006PD,006PD_S1_DDK3.wav,ddk,6.577041666666666,True
007PD,007PD_S1_DDK1.wav,ddk,1.9363333333333337,False
007PD,007PD_S1_DDK2.wav,ddk,1.7432083333333335,False
007PD,007PD_S1_DDK3.wav,ddk,1.2440833333333332,False
008PD,008PD_S1_DDK1.wav,ddk,0.5410416666666666,False
008PD,008PD_S1_DDK2.wav,ddk,1.2030416666666661,False
008PD,008PD_S1_DDK3.wav,ddk,0.6072083333333333,False
009PD,009PD_S1_DDK1.wav,ddk,0.28745833333333337,False
009PD,009PD_S1_DDK2.wav,ddk,0.7941666666666665,False
009PD,009PD_S1_DDK3.wav,ddk,0.6531249999999993,False
010PD,010PD_S1_DDK1.wav,ddk,3.8977499999999994,True
010PD,010PD_S1_DDK2.wav,ddk,3.693666666666667,True
010PD,010PD_S1_DDK3.wav,ddk,1.6885833333333329,False
011PD,011PD_S1_DDK1.wav,ddk,0.6521249999999998,False
011PD,011PD_S1_DDK2.wav,ddk,0.6092083333333331,False
011PD,011PD_S1_DDK3.wav,ddk,0.12045833333333356,False
012PD,012PD_S1_DDK1.wav,ddk,0.2698333333333336,False
012PD,012PD_S1_DDK2.wav,ddk,0.0854166666666667,False
012PD,012PD_S1_DDK3.wav,ddk,0.26912500000000006,False
013PD,013PD_S1_DDK1.wav,ddk,0.015833333333333144,False
013PD,013PD_S1_DDK2.wav,ddk,1.5545,False
013PD,013PD_S1_DDK3.wav,ddk,1.201416666666666,False
014PD,014PD_S1_DDK1.wav,ddk,1.2687083333333335,False
014PD,014PD_S1_DDK2.wav,ddk,1.594125,False
014PD,014PD_S1_DDK3.wav,ddk,1.8135000000000003,False
015PD,015PD_S1_DDK1.wav,ddk,2.764708333333334,False
015PD,015PD_S1_DDK2.wav,ddk,1.376666666666667,False
015PD,015PD_S1_DDK3.wav,ddk,1.2099166666666665,False
016PD,016PD_S1_DDK1.wav,ddk,0.3222499999999995,False
016PD,016PD_S1_DDK2.wav,ddk,0.15237500000000015,False
016PD,016PD_S1_DDK3.wav,ddk,0.10637500000000077,False
017PD,017PD_S1_DDK1.wav,ddk,0.7473749999999999,False
017PD,017PD_S1_DDK2.wav,ddk,0.914625,False
017PD,017PD_S1_DDK3.wav,ddk,1.1587500000000004,False
018PD,018PD_S1_DDK1.wav,ddk,0.2913333333333332,False
018PD,018PD_S1_DDK2.wav,ddk,1.5230416666666664,False
018PD,018PD_S1_DDK3.wav,ddk,0.1389999999999998,False
019PD,019PD_S1_DDK1.wav,ddk,0.1263749999999999,False
019PD,019PD_S1_DDK2.wav,ddk,0.2642916666666666,False
019PD,019PD_S1_DDK3.wav,ddk,1.2032500000000002,False
020PD,020PD_S1_DDK1.wav,ddk,0.5946666666666665,False
020PD,020PD_S1_DDK2.wav,ddk,0.8785833333333342,False
020PD,020PD_S1_DDK3.wav,ddk,1.0759999999999996,False
021PD,021PD_S1_DDK1.wav,ddk,0.2591666666666672,False
021PD,021PD_S1_DDK2.wav,ddk,0.22787500000000005,False
021PD,021PD_S1_DDK3.wav,ddk,0.5177500000000002,False
022PD,022PD_S1_DDK1.wav,ddk,0.2381249999999997,False
022PD,022PD_S1_DDK2.wav,ddk,0.003874999999999851,False
022PD,022PD_S1_DDK3.wav,ddk,0.10841666666666594,False
023PD,023PD_S1_DDK1.wav,ddk,1.2451249999999998,True
023PD,023PD_S1_DDK2.wav,ddk,1.4835416666666665,True
023PD,023PD_S1_DDK3.wav,ddk,1.6288749999999999,True
024PD,024PD_S1_DDK1.wav,ddk,0.7787916666666668,False
024PD,024PD_S1_DDK2.wav,ddk,0.8394166666666667,False
024PD,024PD_S1_DDK3.wav,ddk,1.4606666666666666,False
025PD,025PD_S1_DDK1.wav,ddk,1.5460416666666674,False
025PD,025PD_S1_DDK2.wav,ddk,0.8727499999999999,False
025PD,025PD_S1_DDK3.wav,ddk,0.5142499999999997,False
026PD,026PD_S1_DDK1.wav,ddk,0.35545833333333343,False
026PD,026PD_S1_DDK2.wav,ddk,0.09808333333333352,False
026PD,026PD_S1_DDK3.wav,ddk,0.0709166666666663,False
027PD,027PD_S1_DDK1.wav,ddk,0.22108333333333352,False
027PD,027PD_S1_DDK2.wav,ddk,0.4644166666666667,False
027PD,027PD_S1_DDK3.wav,ddk,0.5277916666666655,False
028PD,028PD_S1_DDK1.wav,ddk,0.3307916666666664,False
028PD,028PD_S1_DDK2.wav,ddk,1.5977916666666665,True
028PD,028PD_S1_DDK3.wav,ddk,0.39112499999999994,False
029PD,029PD_S1_DDK1.wav,ddk,2.343,True
029PD,029PD_S1_DDK2.wav,ddk,1.9628750000000004,False
029PD,029PD_S1_DDK3.wav,ddk,1.0599583333333333,False
030PD,030PD_S1_DDK1.wav,ddk,0.49920833333333325,False
