speaker_id,filename,task,duration_delta,significant_diff
001PD,001PD_S1_DDK1.wav,ddk,0.6267083333333332,False
001PD,001PD_S1_DDK2.wav,ddk,3.6565000000000003,False
001PD,001PD_S1_DDK3.wav,ddk,3.712958333333333,True
002PD,002PD_S1_DDK1.wav,ddk,3.803291666666667,True
002PD,002PD_S1_DDK2.wav,ddk,2.1598749999999995,True
002PD,002PD_S1_DDK3.wav,ddk,0.6447916666666664,False
003PD,003PD_S1_DDK1.wav,ddk,2.0480416666666663,True
003PD,003PD_S1_DDK2.wav,ddk,0.11191666666666666,False
003PD,003PD_S1_DDK3.wav,ddk,0.06354166666666661,False
004PD,004PD_S1_DDK1.wav,ddk,2.121083333333334,True
004PD,004PD_S1_DDK2.wav,ddk,0.9308333333333334,False
004PD,004PD_S1_DDK3.wav,ddk,0.8308750000000003,False
005PD,005PD_S1_DDK1.wav,ddk,0.7807500000000003,False
005PD,005PD_S1_DDK2.wav,ddk,0.02620833333333339,False
005PD,005PD_S1_DDK3.wav,ddk,0.5129999999999999,False
006PD,006PD_S1_DDK1.wav,ddk,0.11624999999999996,False
006PD,006PD_S1_DDK2.wav,ddk,0.0919166666666662,False
006PD,006PD_S1_DDK3.wav,ddk,0.30295833333333366,False
007PD,007PD_S1_DDK1.wav,ddk,0.8163333333333327,False
007PD,007PD_S1_DDK2.wav,ddk,1.0285416666666665,False
007PD,007PD_S1_DDK3.wav,ddk,0.6254166666666672,False
008PD,008PD_S1_DDK1.wav,ddk,0.5303749999999998,False
008PD,008PD_S1_DDK2.wav,ddk,1.181708333333333,False
008PD,008PD_S1_DDK3.wav,ddk,0.5965416666666665,False
009PD,009PD_S1_DDK1.wav,ddk,0.16054166666666658,False
009PD,009PD_S1_DDK2.wav,ddk,0.0804999999999998,False
009PD,009PD_S1_DDK3.wav,ddk,0.09354166666666686,False
010PD,010PD_S1_DDK1.wav,ddk,0.027583333333333293,False
010PD,010PD_S1_DDK2.wav,ddk,0.3810000000000002,False
010PD,010PD_S1_DDK3.wav,ddk,0.6260833333333338,False
011PD,011PD_S1_DDK1.wav,ddk,0.8092083333333333,False
011PD,011PD_S1_DDK2.wav,ddk,0.9587916666666669,False
011PD,011PD_S1_DDK3.wav,ddk,1.2662083333333332,False
012PD,012PD_S1_DDK1.wav,ddk,0.4874999999999998,False
012PD,012PD_S1_DDK2.wav,ddk,0.9492500000000001,False
012PD,012PD_S1_DDK3.wav,ddk,0.274875,False
013PD,013PD_S1_DDK1.wav,ddk,0.9975000000000005,False
013PD,013PD_S1_DDK2.wav,ddk,0.6585000000000001,False
013PD,013PD_S1_DDK3.wav,ddk,0.1240833333333331,False
014PD,014PD_S1_DDK1.wav,ddk,0.1392916666666668,False
014PD,014PD_S1_DDK2.wav,ddk,0.4741249999999999,False
014PD,014PD_S1_DDK3.wav,ddk,0.6615000000000002,False
015PD,015PD_S1_DDK1.wav,ddk,0.16204166666666708,False
015PD,015PD_S1_DDK2.wav,ddk,0.43666666666666654,False
015PD,015PD_S1_DDK3.wav,ddk,0.731416666666667,False
016PD,016PD_S1_DDK1.wav,ddk,0.3969166666666668,False
016PD,016PD_S1_DDK2.wav,ddk,0.07770833333333282,False
016PD,016PD_S1_DDK3.wav,ddk,0.03170833333333345,False
017PD,017PD_S1_DDK1.wav,ddk,0.6727083333333326,False
017PD,017PD_S1_DDK2.wav,ddk,0.850625,False
017PD,017PD_S1_DDK3.wav,ddk,1.0947500000000003,False
018PD,018PD_S1_DDK1.wav,ddk,0.18466666666666676,False
018PD,018PD_S1_DDK2.wav,ddk,1.4377083333333331,False
018PD,018PD_S1_DDK3.wav,ddk,0.08566666666666656,False
019PD,019PD_S1_DDK1.wav,ddk,1.118375,False
019PD,019PD_S1_DDK2.wav,ddk,0.2050416666666668,False
019PD,019PD_S1_DDK3.wav,ddk,0.43525000000000036,False
020PD,020PD_S1_DDK1.wav,ddk,0.7599999999999998,False
020PD,020PD_S1_DDK2.wav,ddk,2.2332500000000004,False
020PD,020PD_S1_DDK3.wav,ddk,2.3986666666666663,False
021PD,021PD_S1_DDK1.wav,ddk,0.28483333333333327,False
021PD,021PD_S1_DDK2.wav,ddk,0.13479166666666664,False
021PD,021PD_S1_DDK3.wav,ddk,0.272416666666667,False
022PD,022PD_S1_DDK1.wav,ddk,0.07120833333333332,False
022PD,022PD_S1_DDK2.wav,ddk,0.5721249999999998,False
022PD,022PD_S1_DDK3.wav,ddk,0.4035833333333336,False
023PD,023PD_S1_DDK1.wav,ddk,0.018458333333333243,False
023PD,023PD_S1_DDK2.wav,ddk,0.23379166666666662,False
023PD,023PD_S1_DDK3.wav,ddk,0.039541666666666586,False
024PD,024PD_S1_DDK1.wav,ddk,1.5041250000000002,False
024PD,024PD_S1_DDK2.wav,ddk,1.7140833333333338,False
024PD,024PD_S1_DDK3.wav,ddk,2.186,False
025PD,025PD_S1_DDK1.wav,ddk,0.4059583333333334,False
025PD,025PD_S1_DDK2.wav,ddk,0.8125833333333334,False
025PD,025PD_S1_DDK3.wav,ddk,0.9150833333333335,False
026PD,026PD_S1_DDK1.wav,ddk,0.22745833333333332,False
026PD,026PD_S1_DDK2.wav,ddk,0.16208333333333336,False
026PD,026PD_S1_DDK3.wav,ddk,0.014416666666666966,False
027PD,027PD_S1_DDK1.wav,ddk,2.2904166666666668,False
027PD,027PD_S1_DDK2.wav,ddk,2.53375,False
027PD,027PD_S1_DDK3.wav,ddk,3.365124999999999,False
028PD,028PD_S1_DDK1.wav,ddk,0.36254166666666654,False
028PD,028PD_S1_DDK2.wav,ddk,1.2031249999999998,False
028PD,028PD_S1_DDK3.wav,ddk,0.06754166666666661,False
029PD,029PD_S1_DDK1.wav,ddk,0.09233333333333338,False
029PD,029PD_S1_DDK2.wav,ddk,0.5437916666666665,False
029PD,029PD_S1_DDK3.wav,ddk,0.18804166666666644,False
030PD,030PD_S1_DDK1.wav,ddk,0.6592083333333334,False
030PD,030PD_S1_DDK2.wav,ddk,0.19908333333333328,False
030PD,030PD_S1_DDK3.wav,ddk,0.28725,False
031PD,031PD_S1_DDK1.wav,ddk,0.31325000000000003,False
031PD,031PD_S1_DDK2.wav,ddk,0.7403333333333333,False
031PD,031PD_S1_DDK3.wav,ddk,0.6599999999999999,False
032PD,032PD_S1_DDK1.wav,ddk,0.16425,False
032PD,032PD_S1_DDK2.wav,ddk,0.05579166666666646,False
032PD,032PD_S1_DDK3.wav,ddk,0.26808333333333323,False
033PD,033PD_S1_DDK1.wav,ddk,0.564083333333333,False
033PD,033PD_S1_DDK2.wav,ddk,0.27070833333333333,False
033PD,033PD_S1_DDK3.wav,ddk,0.17074999999999996,False
034PD,034PD_S1_DDK1.wav,ddk,0.6265000000000001,False
034PD,034PD_S1_DDK2.wav,ddk,0.33295833333333347,False
034PD,034PD_S1_DDK3.wav,ddk,0.3714999999999997,False
035PD,035PD_S1_DDK1.wav,ddk,0.6822916666666665,False
035PD,035PD_S1_DDK2.wav,ddk,0.29875000000000007,False
035PD,035PD_S1_DDK3.wav,ddk,0.9255,False
036PD,036PD_S1_DDK1.wav,ddk,0.6552916666666659,False
